,subject_fn,age,school,sex,sex_bool,cond_C_bool,cond_G_bool,session,child_selected_00,child_result_00,child_selected_01,child_result_01,child_selected_02,child_result_02,child_selected_03,child_result_03,child_selected_04,child_result_04,child_selected_05,child_result_05
12,p136,4.0,B,F,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
16,p033,8.0,A,F,0.0,0.0,1.0,1,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,,2.0,
33,p131,6.0,B,F,0.0,1.0,1.0,1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
47,p051,7.0,A,F,0.0,0.0,0.0,1,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
51,p101,5.0,B,F,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
87,p135,5.0,B,F,0.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
105,p139,5.0,B,F,0.0,1.0,0.0,1,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
161,p041,7.0,A,M,1.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,
166,p008,7.0,A,F,0.0,0.0,1.0,1,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
169,p128,6.0,B,F,0.0,1.0,1.0,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
194,p047,8.0,A,F,0.0,1.0,1.0,1,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
198,p125,6.0,B,M,1.0,1.0,0.0,1,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
204,p019,6.0,A,M,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,
228,p028,6.0,A,M,1.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
235,p122,6.0,B,F,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
252,p002,5.0,A,M,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
257,p009,7.0,A,M,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
262,p130,5.0,B,M,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
