,subject_fn,age,school,sex,sex_bool,cond_C_bool,cond_G_bool,session,child_selected_00,child_result_00,child_selected_01,child_result_01,left_LE_01,mid_LE_01,child_selected_02,child_result_02,left_LE_02,mid_LE_02,child_selected_03,child_result_03,left_LE_03,mid_LE_03,child_selected_04,child_result_04,left_LE_04,mid_LE_04,child_selected_05,child_result_05,left_LE_05,mid_LE_05
12,p136,4.0,B,F,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.9698818891476362,0.9616521199544271,2.0,0.0,0.9616521199544271,0.959145766038161,2.0,0.0,0.959145766038161,0.9539074041904547,2.0,0.0,0.9539074041904547,0.950863764836238,1.0,0.0,0.950863764836238,0.9470786070212339
16,p033,8.0,A,F,0.0,0.0,1.0,1,2.0,1.0,2.0,1.0,0.4011278396997696,0.3178064150687976,2.0,0.0,0.2673568236522185,0.17148072902972883,2.0,0.0,0.17148072902972883,0.07868359639094426,2.0,,0.07868359639094426,0.07984286699539576,2.0,,0.07984286699539576,0.0806266222244654
33,p131,6.0,B,F,0.0,1.0,1.0,1,0.0,1.0,2.0,0.0,0.10245858705960788,0.10389416034405048,1.0,0.0,0.10389416034405048,0.1055912849230644,0.0,0.0,0.1055912849230644,0.10530941302959736,1.0,0.0,0.10530941302959736,0.10757294679299378,1.0,1.0,0.10757294679299378,0.10943747789431842
47,p051,7.0,A,F,0.0,0.0,0.0,1,2.0,1.0,0.0,1.0,0.4011278396997696,0.3178064150687976,0.0,1.0,0.10343331557053786,0.07821983557481033,2.0,1.0,0.05498538261804825,0.0354004823244535,2.0,0.0,0.032222399344811074,0.022320660261007454,0.0,1.0,0.022320660261007454,0.022879967322716348
51,p101,5.0,B,F,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,0.9698818891476362,0.9616521199544271,0.0,0.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.08181708898299779,0.08348324359991612,2.0,0.0,0.08348324359991612,0.08514806551811023
87,p135,5.0,B,F,0.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.08047783680451222,0.08202391404371995,2.0,0.0,0.05907118626129933,0.05874714484581581,2.0,0.0,0.05874714484581581,0.06005775011502779,2.0,0.0,0.06005775011502779,0.06124406594496507,1.0,0.0,0.06124406594496507,0.06186361190600273
105,p139,5.0,B,F,0.0,1.0,0.0,1,2.0,1.0,0.0,0.0,0.4011278396997696,0.3178064150687976,1.0,0.0,0.4011278396997696,0.3178064150687976,0.0,0.0,0.3178064150687976,0.21293317354642427,1.0,0.0,0.21293317354642427,0.10531836289625901,1.0,0.0,0.10531836289625901,0.10693102616530198
161,p041,7.0,A,M,1.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.10245858705960788,0.10389416034405048,0.0,0.0,0.10389416034405048,0.1055912849230644,1.0,0.0,0.1055912849230644,0.10530941302959736,2.0,0.0,0.10530941302959736,0.10757294679299378,1.0,,0.10757294679299378,0.10943747789431842
166,p008,7.0,A,F,0.0,0.0,1.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,2.0,0.0,0.06974409788082807,0.07088332298474434,2.0,0.0,0.07088332298474434,0.07064741697066869,1.0,0.0,0.07064741697066869,0.07207980522742638,1.0,0.0,0.07207980522742638,0.07344653056218074
169,p128,6.0,B,F,0.0,1.0,1.0,1,2.0,1.0,0.0,0.0,0.4011278396997696,0.3178064150687976,0.0,0.0,0.4011278396997696,0.3178064150687976,1.0,0.0,0.3178064150687976,0.21293317354642427,0.0,0.0,0.21293317354642427,0.10531836289625901,1.0,0.0,0.10531836289625901,0.10693102616530198
194,p047,8.0,A,F,0.0,1.0,1.0,1,1.0,0.0,2.0,0.0,0.9698818891476362,0.9616521199544271,0.0,0.0,0.9616521199544271,0.959145766038161,2.0,0.0,0.9616521199544271,0.959145766038161,2.0,0.0,0.959145766038161,0.9539074041904547,1.0,1.0,0.9539074041904547,0.950863764836238
198,p125,6.0,B,M,1.0,1.0,0.0,1,1.0,0.0,0.0,1.0,0.9698818891476362,0.9616521199544271,2.0,1.0,0.08202391404371995,0.08181708898299779,2.0,0.0,0.036449105311662726,0.036239067713419594,2.0,0.0,0.036239067713419594,0.03713715382111378,0.0,1.0,0.03713715382111378,0.03753891663673597
204,p019,6.0,A,M,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.10245858705960788,0.10389416034405048,2.0,0.0,0.06974409788082807,0.07088332298474434,1.0,0.0,0.07088332298474434,0.07064741697066869,1.0,1.0,0.07064741697066869,0.07207980522742638,0.0,,0.05601836473513872,0.05683973508003431
