number run,"Condition (left=0, middle=1, actual=2)",round (0-no learning),number of moves,"real 7-puzzle OR ? 7-puzzle (0=real, 1=?)"
0,0,0,110.0,0
0,0,1,37.0,0
0,0,2,91.0,0
0,0,3,160.0,0
0,0,4,13.0,0
0,0,5,49.0,0
0,0,6,156.0,0
1,0,0,129.0,0
1,0,1,129.0,0
1,0,2,74.0,0
1,0,3,65.0,0
1,0,4,117.0,0
1,0,5,116.0,0
1,0,6,13.0,0
2,0,0,30.0,0
2,0,1,103.0,0
2,0,2,66.0,0
2,0,3,107.0,0
2,0,4,100.0,0
2,0,5,98.0,0
2,0,6,108.0,0
3,0,0,113.0,0
3,0,1,107.0,0
3,0,2,235.0,0
3,0,3,167.0,0
3,0,4,154.0,0
3,0,5,13.0,0
3,0,6,85.0,0
4,0,0,142.0,0
4,0,1,39.0,0
4,0,2,52.0,0
4,0,3,63.0,0
4,0,4,70.0,0
4,0,5,233.0,0
4,0,6,95.0,0
5,0,0,107.0,0
5,0,1,98.0,0
5,0,2,159.0,0
5,0,3,104.0,0
5,0,4,13.0,0
5,0,5,13.0,0
5,0,6,13.0,0
6,0,0,120.0,0
6,0,1,187.0,0
6,0,2,209.0,0
6,0,3,15.0,0
6,0,4,13.0,0
6,0,5,79.0,0
6,0,6,68.0,0
7,0,0,209.0,0
7,0,1,126.0,0
7,0,2,33.0,0
7,0,3,64.0,0
7,0,4,160.0,0
7,0,5,13.0,0
7,0,6,13.0,0
8,0,0,102.0,0
8,0,1,66.0,0
8,0,2,99.0,0
8,0,3,127.0,0
8,0,4,120.0,0
8,0,5,87.0,0
8,0,6,164.0,0
9,0,0,25.0,0
9,0,1,156.0,0
9,0,2,115.0,0
9,0,3,13.0,0
9,0,4,28.0,0
9,0,5,13.0,0
9,0,6,13.0,0
10,0,0,60.0,0
10,0,1,102.0,0
10,0,2,58.0,0
10,0,3,106.0,0
10,0,4,154.0,0
10,0,5,114.0,0
10,0,6,108.0,0
11,0,0,84.0,0
11,0,1,114.0,0
11,0,2,91.0,0
11,0,3,172.0,0
11,0,4,121.0,0
11,0,5,13.0,0
11,0,6,146.0,0
12,0,0,32.0,0
12,0,1,38.0,0
12,0,2,136.0,0
12,0,3,116.0,0
12,0,4,245.0,0
12,0,5,51.0,0
12,0,6,150.0,0
13,0,0,30.0,0
13,0,1,169.0,0
13,0,2,74.0,0
13,0,3,111.0,0
13,0,4,161.0,0
13,0,5,13.0,0
13,0,6,13.0,0
14,0,0,141.0,0
14,0,1,88.0,0
14,0,2,207.0,0
14,0,3,101.0,0
14,0,4,85.0,0
14,0,5,13.0,0
14,0,6,69.0,0
15,0,0,248.0,0
15,0,1,141.0,0
15,0,2,105.0,0
15,0,3,93.0,0
15,0,4,130.0,0
15,0,5,13.0,0
15,0,6,106.0,0
16,0,0,110.0,0
16,0,1,92.0,0
16,0,2,33.0,0
16,0,3,76.0,0
16,0,4,121.0,0
16,0,5,13.0,0
16,0,6,89.0,0
17,0,0,122.0,0
17,0,1,243.0,0
17,0,2,54.0,0
17,0,3,56.0,0
17,0,4,81.0,0
17,0,5,76.0,0
17,0,6,92.0,0
18,0,0,211.0,0
18,0,1,105.0,0
18,0,2,116.0,0
18,0,3,82.0,0
18,0,4,139.0,0
18,0,5,47.0,0
18,0,6,91.0,0
19,0,0,126.0,0
19,0,1,152.0,0
19,0,2,76.0,0
19,0,3,99.0,0
19,0,4,111.0,0
19,0,5,155.0,0
19,0,6,91.0,0
20,0,0,162.0,0
20,0,1,27.0,0
20,0,2,52.0,0
20,0,3,90.0,0
20,0,4,114.0,0
20,0,5,13.0,0
20,0,6,165.0,0
21,0,0,52.0,0
21,0,1,71.0,0
21,0,2,116.0,0
21,0,3,224.0,0
21,0,4,175.0,0
21,0,5,58.0,0
21,0,6,13.0,0
22,0,0,108.0,0
22,0,1,79.0,0
22,0,2,88.0,0
22,0,3,116.0,0
22,0,4,174.0,0
22,0,5,88.0,0
22,0,6,131.0,0
23,0,0,192.0,0
23,0,1,142.0,0
23,0,2,114.0,0
23,0,3,191.0,0
23,0,4,30.0,0
23,0,5,14.0,0
23,0,6,78.0,0
24,0,0,56.0,0
24,0,1,120.0,0
24,0,2,79.0,0
24,0,3,82.0,0
24,0,4,52.0,0
24,0,5,13.0,0
24,0,6,127.0,0
25,0,0,73.0,0
25,0,1,137.0,0
25,0,2,105.0,0
25,0,3,181.0,0
25,0,4,158.0,0
25,0,5,13.0,0
25,0,6,13.0,0
26,0,0,144.0,0
26,0,1,131.0,0
26,0,2,91.0,0
26,0,3,133.0,0
26,0,4,66.0,0
26,0,5,199.0,0
26,0,6,37.0,0
27,0,0,102.0,0
27,0,1,44.0,0
27,0,2,209.0,0
27,0,3,139.0,0
27,0,4,80.0,0
27,0,5,152.0,0
27,0,6,13.0,0
28,0,0,181.0,0
28,0,1,86.0,0
28,0,2,109.0,0
28,0,3,137.0,0
28,0,4,130.0,0
28,0,5,13.0,0
28,0,6,13.0,0
29,0,0,231.0,0
29,0,1,58.0,0
29,0,2,114.0,0
29,0,3,104.0,0
29,0,4,196.0,0
29,0,5,13.0,0
29,0,6,13.0,0
0,1,0,108.0,0
0,1,1,84.0,0
0,1,2,13.0,0
0,1,3,13.0,0
0,1,4,13.0,0
0,1,5,13.0,0
0,1,6,13.0,0
1,1,0,57.0,0
1,1,1,121.0,0
1,1,2,13.0,0
1,1,3,13.0,0
1,1,4,13.0,0
1,1,5,13.0,0
1,1,6,13.0,0
2,1,0,148.0,0
2,1,1,98.0,0
2,1,2,92.0,0
2,1,3,13.0,0
2,1,4,13.0,0
2,1,5,13.0,0
2,1,6,13.0,0
3,1,0,149.0,0
3,1,1,43.0,0
3,1,2,13.0,0
3,1,3,13.0,0
3,1,4,13.0,0
3,1,5,13.0,0
3,1,6,13.0,0
4,1,0,141.0,0
4,1,1,83.0,0
4,1,2,203.0,0
4,1,3,13.0,0
4,1,4,13.0,0
4,1,5,13.0,0
4,1,6,13.0,0
5,1,0,158.0,0
5,1,1,48.0,0
5,1,2,13.0,0
5,1,3,13.0,0
5,1,4,13.0,0
5,1,5,13.0,0
5,1,6,13.0,0
6,1,0,154.0,0
6,1,1,90.0,0
6,1,2,134.0,0
6,1,3,13.0,0
6,1,4,13.0,0
6,1,5,13.0,0
6,1,6,13.0,0
7,1,0,146.0,0
7,1,1,66.0,0
7,1,2,36.0,0
7,1,3,13.0,0
7,1,4,13.0,0
7,1,5,13.0,0
7,1,6,13.0,0
8,1,0,78.0,0
8,1,1,68.0,0
8,1,2,142.0,0
8,1,3,13.0,0
8,1,4,13.0,0
8,1,5,13.0,0
8,1,6,13.0,0
9,1,0,89.0,0
9,1,1,44.0,0
9,1,2,13.0,0
9,1,3,13.0,0
9,1,4,13.0,0
9,1,5,13.0,0
9,1,6,13.0,0
10,1,0,91.0,0
10,1,1,157.0,0
10,1,2,197.0,0
10,1,3,13.0,0
10,1,4,13.0,0
10,1,5,13.0,0
10,1,6,13.0,0
11,1,0,145.0,0
11,1,1,13.0,0
11,1,2,13.0,0
11,1,3,154.0,0
11,1,4,13.0,0
11,1,5,13.0,0
11,1,6,13.0,0
12,1,0,90.0,0
12,1,1,119.0,0
12,1,2,13.0,0
12,1,3,13.0,0
12,1,4,13.0,0
